SYMBOL,DELIV_PER
20MICRONS,45.07
21STCENMGM,82.57
360ONE,68.08
3BBLACKBIO,57.7
3IINFOLTD,77.25
3MINDIA,46.97
3PLAND,90.69
5PAISA,60.15
63MOONS,39.06
A2ZINFRA,82.11
AAATECH,41.9
AADHARHFC,47.88
AAKASH,62.03
AARNAV,44.83
AARON,68.63
AARTECH,34.68
AARTIDRUGS,47.74
AARTIIND,52.45
AARTIPHARM,53.05
AARTISURF,63.81
AARVI,62.3
AAVAS,55.73
ABB,38.3
ABBOTINDIA,55.82
ABCAPITAL,57.3
ABCOTS,72.8
ABDL,34.67
ABFRL,55.06
ABGSEC,100.0
ABINFRA,20.63
ABLBL,61.86
ABMINTLLTD,38.76
ABMKNO,95.56
ABREL,34.97
ABSL10BANK,62.97
ABSLAMC,51.73
ABSLBANETF,91.44
ABSLLIQUID,79.94
ABSLMSCIN,96.73
ABSLNN50ET,71.88
ABSLPSE,73.2
ACC,42.0
ACCELYA,64.01
ACE,47.78
ACEINTEG,62.03
ACI,55.57
ACL,76.33
ACMESOLAR,54.31
ACSTECH,67.58
ACUTAAS,60.77
ADANIENSOL,41.62
ADANIENT,42.29
ADANIGREEN,27.77
ADANIPORTS,52.15
ADANIPOWER,36.07
ADFFOODS,49.4
ADL,94.17
ADOR,59.88
ADROITINFO,82.51
ADSL,56.41
ADVAIT,49.34
ADVANCE,73.38
ADVANIHOTR,62.48
ADVENTHTL,37.53
ADVENZYMES,58.63
AEGISLOG,16.0
AEGISVOPAK,10.68
AEPL,80.25
AEQUS,23.18
AEROENTER,43.74
AEROFLEX,48.08
AERONEU,21.99
AETHER,47.66
AFCONS,45.61
AFFLE,47.99
AFSL,79.56
AGARIND,46.88
AGARWALEYE,47.89
AGI,48.08
AGIIL,28.11
AGROPHOS,77.09
AHCL,39.67
AHLADA,71.34
AHLEAST,83.91
AHLUCONT,60.07
AIAENG,50.83
AIIL,36.16
AIRAN,79.4
AIROLAM,95.7
AJANTPHARM,58.42
AJAXENGG,87.12
AJMERA,49.3
AJOONI,69.79
AKASH,66.09
AKCAPIT,82.38
AKG,84.71
AKI,75.57
AKSHAR,66.84
AKUMS,39.49
ALANKIT,84.29
ALBERTDAVD,85.29
ALEMBICLTD,49.74
ALGOQUANT,30.04
ALICON,72.62
ALIVUS,45.92
ALKEM,61.31
ALKYLAMINE,46.36
ALLCARGO,58.8
ALLDIGI,73.29
ALLTIME,52.79
ALMONDZ,51.27
ALOKINDS,57.03
ALPA,73.98
ALPHA,48.73
ALPHAETF,61.45
ALPHAGEO,72.61
ALPL30IETF,66.89
AMAGI,47.2
AMBALALSA,42.46
AMBER,43.83
AMBICAAGAR,98.16
AMBIKCO,41.74
AMBUJACEM,46.27
AMDIND,59.55
AMIRCHAND,57.47
AMJLAND,85.83
AMNPLST,70.66
AMRUTANJAN,57.42
ANANDRATHI,46.01
ANANTRAJ,40.82
ANDHRAPAP,64.23
ANDHRSUGAR,25.27
ANGELONE,45.15
ANMOL,57.79
ANTELOPUS,55.01
ANTGRAPHIC,83.83
ANTHEM,62.99
ANUHPHR,75.83
ANUP,55.08
ANURAS,47.12
AONEGOLD,60.77
AONELIQUID,97.66
AONENIFTY,82.95
AONESILVER,62.14
AONETMMQ50,97.68
AONETOTAL,59.9
APARINDS,31.92
APCL,77.51
APCOTEXIND,59.13
APEX,32.26
APLAPOLLO,52.13
APLLTD,43.21
APOLLO,30.81
APOLLOHOSP,57.34
APOLLOPIPE,28.76
APOLLOTYRE,32.21
APOLSINHOT,54.41
APTUS,54.93
AQYLON,65.28
ARCHIDPLY,85.49
ARCHIES,75.56
ARE&M,53.55
ARENTERP,59.62
ARFIN,7.2
ARIES,75.16
ARIHANT,76.76
ARIHANTCAP,51.18
ARIHANTSUP,76.01
ARIS,48.95
ARKADE,22.41
ARMANFIN,46.96
AROGRANITE,98.66
ARSSBL,48.09
ARTEMISMED,48.57
ARTNIRMAN,50.74
ARVEE,49.58
ARVIND,50.01
ARVINDFASN,83.55
ARVSMART,60.96
ASAHIINDIA,52.05
ASAHISONG,51.49
ASAL,27.8
ASALCBR,70.1
ASHAPURMIN,49.24
ASHIANA,52.63
ASHIKA,35.16
ASHIMASYN,53.0
ASHOKA,44.14
ASHOKAMET,77.13
ASHOKLEY,44.89
ASIANENE,49.82
ASIANHOTNR,18.1
ASIANPAINT,57.12
ASIANTILES,45.86
ASKAUTOLTD,53.84
ASPINWALL,19.0
ASTAR,100.0
ASTEC,43.66
ASTERDM,61.14
ASTRAL,48.19
ASTRAMICRO,49.04
ASTRAZEN,52.73
ATALREAL,49.95
ATAM,65.61
ATGL,30.66
ATHERENERG,32.2
ATL,64.65
ATLANTAA,60.49
ATLANTAELE,69.7
ATLASCYCLE,70.06
ATUL,63.9
ATULAUTO,39.75
AUBANK,51.91
AURIGROW,39.02
AURIONPRO,51.76
AUROPHARMA,49.09
AURUM,52.54
AUTOAXLES,61.09
AUTOBEES,48.68
AUTOIETF,63.58
AVALON,51.63
AVANTEL,41.36
AVANTIFEED,41.02
AVL,62.14
AVONMORE,79.26
AVROIND,49.01
